WikidataID	lang_en	label_en	P1545_ciic	description_en	alias_en	lang_de	label_de	description_de	alias_de	P625_coord	P189_place	P17_country	P189_county	P1684	P518_I
Q85410013	en	CIIC 246b	246b	Ogam Stone CIIC 246b		de	CIIC 246b	Ogam Stein CIIC 246b		52.1655556,-9.73361111111111	Q85396815	Q27	Q184469	[LMCBDV]	Q18122778
Q70892869	en	CIIC 247	247	Ogam Stone CIIC 247		de	CIIC 247	Ogam Stein CIIC 247		52.1477780,-9.6627780	Q85396974	Q27	Q184469	COVTET	
Q70892870	en	CIIC 248	248	Ogam Stone CIIC 248		de	CIIC 248	Ogam Stein CIIC 248		52.1425,-9.43888888888889	Q85396897	Q27	Q184469	...QET[IA?]S M[A?]Q TRENIL[U?...]	Q18122778
Q70892873	en	CIIC 249	249	Ogam Stone CIIC 249		de	CIIC 249	Ogam Stein CIIC 249		52.1619444,-9.687777777777779	Q85396931	Q27	Q184469	UN[...]CC	Q18122778
Q70892889	en	CIIC 250	250	Ogam Stone CIIC 250		de	CIIC 250	Ogam Stein CIIC 250		52.1658333,-9.771944444444445	Q85396820	Q27	Q184469	CATTUVVIRR MAQI RITUVVECAS MUCOI ALLATO	
Q70892894	en	CIIC 251	251	Ogam Stone CIIC 251		de	CIIC 251	Ogam Stein CIIC 251		52.1916667,-9.5325	Q85396823	Q27	Q184469	VELITAS LUGUTTI	
Q70892895	en	CIIC 252	252	Ogam Stone CIIC 252		de	CIIC 252	Ogam Stein CIIC 252		52.2266667,-9.581944444444444	Q85396933	Q27	Q184469	DUMELI MAQI GLASICONAS NIOTTA COBRANOR[IGAS]	Q18122778
Q70892897	en	CIIC 253	253	Ogam Stone CIIC 253		de	CIIC 253	Ogam Stein CIIC 253		52.2336111,-9.540833333333333	Q85396826	Q27	Q184469	GALEOTOS	
Q70892906	en	CIIC 254	254	Ogam Stone CIIC 254		de	CIIC 254	Ogam Stein CIIC 254		52.2336111,-9.540833333333333	Q85396936	Q27	Q184469	MAQI RECTA	
Q70892907	en	CIIC 255	255	Ogam Stone CIIC 255		de	CIIC 255	Ogam Stein CIIC 255		52.1247222,-9.7575	Q85396900	Q27	Q184469	ANM VURUDDRANN MAQ[I] DOLIGENN CI[...]LA MAQ[Q?]I [..]BAGNI	Q18122778
Q70892910	en	CIIC 256	256	Ogam Stone CIIC 256		de	CIIC 256	Ogam Stein CIIC 256		52.1247222,-9.7575	Q85396900	Q27	Q184469	ANM TEGANN MAAC DEGLANN	
Q85410047	en	CIIC 256a	256a	Ogam Stone CIIC 256a		de	CIIC 256a	Ogam Stein CIIC 256a		52.2680556,-9.710277777777778	Q85396830	Q27	Q184469	BASIÅŠB ---	Q18122778
Q70892912	en	CIIC 257	257	Ogam Stone CIIC 257		de	CIIC 257	Ogam Stein CIIC 257		52.4575,-8.823888888888888	Q85396834	Q27	Q184469	D[A]Q[U]MA MAQI RAGAVVECC	Q18122778
Q70892914	en	CIIC 258	258	Ogam Stone CIIC 258		de	CIIC 258	Ogam Stein CIIC 258		52.3819444,-8.377222222222223	Q85396837	Q27	Q178283	MAILAGNI MAQI GAMATI	
Q70892917	en	CIIC 259	259	Ogam Stone CIIC 259		de	CIIC 259	Ogam Stein CIIC 259		52.3286111,-8.562777777777779	Q85396939	Q27	Q178283	IVAGENI MAQI LAISCEMITA	
Q70892919	en	CIIC 260	260	Ogam Stone CIIC 260		de	CIIC 260	Ogam Stein CIIC 260		52.2758333,-8.105277777777777	Q85396941	Q27	Q178283	n/a	
Q70892920	en	CIIC 261	261	Ogam Stone CIIC 261		de	CIIC 261	Ogam Stein CIIC 261		52.2216667,-7.758055555555556	Q85396903	Q27	Q184618	NETACUNAS MAQI LOBAC[CONA]	Q18122778
Q70885701	en	CIIC 262	262	Ogam Stone CIIC 262	Ogam Stone 12 (Stone Corridor at UCC)	de	CIIC 262	Ogam Stein CIIC 262	Ogham Stein 12 (Stein Corridor at UCC)	52.1994444,-7.998888888888889	Q85396840	Q27	Q184618	ERCAGNI MAQI ERCIAS	
Q70892923	en	CIIC 263	263	Ogam Stone CIIC 263		de	CIIC 263	Ogam Stein CIIC 263		51.9441667, -7.729166666666667	Q85396905	Q27	Q184594	LUGUDECCAS MAQI [....MU]COI NETA-SEGAMONAS DOLATI BIGA-ISGOB[...	Q18122778
Q70892924	en	CIIC 264	264	Ogam Stone CIIC 264		de	CIIC 264	Ogam Stein CIIC 264		51.9441667, -7.729166666666667	Q85396905	Q27	Q184594	....] NACI MAQI [...	Q18122778
Q70892930	en	CIIC 265	265	Ogam Stone CIIC 265		de	CIIC 265	Ogam Stein CIIC 265		51.9441667, -7.729166666666667	Q85396905	Q27	Q184594	AMADU	Q18122778
Q70892932	en	CIIC 266	266	Ogam Stone CIIC 266		de	CIIC 266	Ogam Stein CIIC 266		52.0644444,-7.848888888888888	Q85396907	Q27	Q184594	COLLABOT MUCOI LUGA MAQI LOBACCONA	
Q70892933	en	CIIC 267	267	Ogam Stone CIIC 267		de	CIIC 267	Ogam Stein CIIC 267		52.0644444,-7.848888888888888	Q85396907	Q27	Q184594	MEDUSI MACI LU MUCOI LUGA	
Q70892935	en	CIIC 268	268	Ogam Stone CIIC 268		de	CIIC 268	Ogam Stein CIIC 268		52.0644444,-7.848888888888888	Q85396907	Q27	Q184594	CATTUVIR	
Q70892937	en	CIIC 269	269	Ogam Stone CIIC 269		de	CIIC 269	Ogam Stein CIIC 269		51.9883333,-7.755833333333333	Q85396845	Q27	Q184594	MAQI MUCOI IVODACCA.	
Q70892938	en	CIIC 270	270	Ogam Stone CIIC 270		de	CIIC 270	Ogam Stein CIIC 270		52.1333333,-7.439166666666667	Q85396847	Q27	Q184594	QRIT[....] MAQ[I LO]BACONA AVI NEAGRACOLINEA	Q18122778
Q70892940	en	CIIC 271	271	Ogam Stone CIIC 271		de	CIIC 271	Ogam Stein CIIC 271		52.1333333,-7.439166666666667	Q85396847	Q27	Q184594	NETAVROQI MAQI QIC[...	Q18122778
Q70892943	en	CIIC 272	272	Ogam Stone CIIC 272		de	CIIC 272	Ogam Stein CIIC 272		52.1630556,-7.468055555555556	Q85396849	Q27	Q184594	MANU MAGUNO GATI MOCOI MACORBO	
Q70892944	en	CIIC 273	273	Ogam Stone CIIC 273		de	CIIC 273	Ogam Stein CIIC 273		52.1630556,-7.468055555555556	Q85396849	Q27	Q184594	CALUNOVIC[A] MAQI MUCOI LIT[ENI].	Q18122778
Q70892950	en	CIIC 274	274	Ogam Stone CIIC 274		de	CIIC 274	Ogam Stein CIIC 274		52.1630556,-7.468055555555556	Q85396849	Q27	Q184594	MAQI-INI[... MAQI QE]TTEAS.	Q18122778
Q70892951	en	CIIC 275	275	Ogam Stone CIIC 275		de	CIIC 275	Ogam Stein CIIC 275		52.1630556,-7.468055555555556	Q85396849	Q27	Q184594	CUNALEGEA MAQI C[....]SALAR CELI AVI QVECI	Q18122778
Q70892952	en	CIIC 276	276	Ogam Stone CIIC 276		de	CIIC 276	Ogam Stein CIIC 276		52.1630556,-7.468055555555556	Q85396849	Q27	Q184594	BIGU MAQI LAG[...	Q18122778
Q70892956	en	CIIC 277	277	Ogam Stone CIIC 277		de	CIIC 277	Ogam Stein CIIC 277		52.1630556,-7.468055555555556	Q85396849	Q27	Q184594	BIR MAQI MUCOI ROTTAIS	
Q70892957	en	CIIC 278	278	Ogam Stone CIIC 278		de	CIIC 278	Ogam Stein CIIC 278		52.1630556,-7.468055555555556	Q85396849	Q27	Q184594	....]MAQI NE[TACUN]AS	Q18122778
Q70892959	en	CIIC 279	279	Ogam Stone CIIC 279		de	CIIC 279	Ogam Stein CIIC 279		52.1630556,-7.468055555555556	Q85396849	Q27	Q184594	DENAVEC[A MU]COI MEDALO.	Q18122778
Q70892962	en	CIIC 280	280	Ogam Stone CIIC 280		de	CIIC 280	Ogam Stein CIIC 280		52.1630556,-7.468055555555556	Q85396849	Q27	Q184594	BRO[INION]AS	Q18122778
Q70892964	en	CIIC 281	281	Ogam Stone CIIC 281		de	CIIC 281	Ogam Stein CIIC 281		52.1630556,-7.468055555555556	Q85396849	Q27	Q184594	DEAGOS MAQI MUCO[I......]NAI	Q18122778
Q70892966	en	CIIC 282	282	Ogam Stone CIIC 282		de	CIIC 282	Ogam Stein CIIC 282		52.1552778,-7.495	Q85396851	Q27	Q184594	AVI DAIMAGNI	
Q70892968	en	CIIC 283	283	Ogam Stone CIIC 283		de	CIIC 283	Ogam Stein CIIC 283		52.1913889,-7.483333333333333	Q85396944	Q27	Q184594	GOSOCTAS MUCOI MACORBO	
Q70892970	en	CIIC 284	284	Ogam Stone CIIC 284		de	CIIC 284	Ogam Stein CIIC 284		52.1913889,-7.483333333333333	Q85396944	Q27	Q184594	MELAGIA	
Q70892972	en	CIIC 285	285	Ogam Stone CIIC 285		de	CIIC 285	Ogam Stein CIIC 285		52.1102778,-7.544722222222222	Q85396852	Q27	Q184594	BIVODON MUCOI ATAR	
Q70892975	en	CIIC 286	286	Ogam Stone CIIC 286		de	CIIC 286	Ogam Stein CIIC 286		52.0905556,-7.549722222222222	Q85396854	Q27	Q184594	[CU]NAMAQI LUGUDECA MUC[OI] CUNEA	Q18122778
Q70892978	en	CIIC 287	287	Ogam Stone CIIC 287		de	CIIC 287	Ogam Stein CIIC 287		52.0905556,-7.549722222222222	Q85396854	Q27	Q184594	NISIGNI MAQI ER[......]I	Q18122778
Q70892979	en	CIIC 288	288	Ogam Stone CIIC 288		de	CIIC 288	Ogam Stein CIIC 288		52.0905556,-7.549722222222222	Q85396854	Q27	Q184594	DEBRANI MAQI ELTI AVI OGATOS	
Q70892982	en	CIIC 289	289	Ogam Stone CIIC 289		de	CIIC 289	Ogam Stein CIIC 289		52.0905556,-7.549722222222222	Q85396854	Q27	Q184594	...]VAGNI MUCOI CUNIA	Q18122778
Q70892984	en	CIIC 290	290	Ogam Stone CIIC 290		de	CIIC 290	Ogam Stein CIIC 290		52.0905556,-7.549722222222222	Q85396854	Q27	Q184594	MAQI E[..	Q18122778
Q70892987	en	CIIC 291	291	Ogam Stone CIIC 291		de	CIIC 291	Ogam Stein CIIC 291		52.1025,-7.804444444444444	Q85396911	Q27	Q184594	n/a	
Q70892992	en	CIIC 292	292	Ogam Stone CIIC 292		de	CIIC 292	Ogam Stein CIIC 292		52.1113889,-7.6	Q85396914	Q27	Q184594	....]ER[A]T[I] M[U]C[OI] NETA-S[EGAM]ONAS	Q18122778
Q70892993	en	CIIC 293	293	Ogam Stone CIIC 293		de	CIIC 293	Ogam Stein CIIC 293		52.1113889,-7.6	Q85396914	Q27	Q184594	...]RG[...]BRCEN[...	Q18122778
Q70892996	en	CIIC 294	294	Ogam Stone CIIC 294		de	CIIC 294	Ogam Stein CIIC 294		52.1113889,-7.6	Q85396914	Q27	Q184594	CORB	
